date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:45	105312/105312	---M--	200	added ('OK')	image/jpeg	etag:%225ac36fef-19b60%22	https://landing.zytheme.com/cobuild/assets/images/portfolio/constructions/6.jpg	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/images/portfolio/constructions/6.jpg	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:45	112066/112066	---M--	200	added ('OK')	image/jpeg	etag:%225ac36fd7-1b5c2%22	https://landing.zytheme.com/cobuild/assets/images/portfolio/constructions/full/5.jpg	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/images/portfolio/constructions/full/5.jpg	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:47	10255/10255	---M--	200	added ('OK')	image/jpeg	etag:%225ac0cbf5-280f%22	https://landing.zytheme.com/cobuild/assets/images/testimonials/1.jpg	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/images/testimonials/1.jpg	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:47	105312/105312	---M--	200	added ('OK')	image/jpeg	etag:%225ac36fef-19b60%22	https://landing.zytheme.com/cobuild/assets/images/portfolio/constructions/full/6.jpg	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/images/portfolio/constructions/full/6.jpg	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:47	7297/7297	---M--	200	added ('OK')	image/jpeg	etag:%225ac378b0-1c81%22	https://landing.zytheme.com/cobuild/assets/images/testimonials/4.jpg	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/images/testimonials/4.jpg	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:47	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9b5999-4d7%22	https://landing.zytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/template/landing.zytheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:47	85590/85590	---MCZ	200	added ('OK')	text/javascript	etag:W/%225ac4c1b0-14e56%22	https://landing.zytheme.com/cobuild/assets/js/jquery-2.2.4.min.js	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/js/jquery-2.2.4.min.js	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:48	411905/411905	---MCZ	200	added ('OK')	text/javascript	etag:W/%225addc81a-64901%22	https://landing.zytheme.com/cobuild/assets/js/plugins.js	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/js/plugins.js	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:48	9755/9755	---MCZ	200	added ('OK')	text/javascript	etag:W/%225addc7a9-261b%22	https://landing.zytheme.com/cobuild/assets/js/functions.js	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/js/functions.js	(from https://landing.zytheme.com/cobuild/landing-1.html)
14:59:50	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22579b109e-12ae6%22	https://landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont5b62.eot	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
14:59:51	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22579b109e-12ae6%22	https://landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfontd41d.eot	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
14:59:52	71896/71896	---MCZ	200	added ('OK')	text/plain	etag:W/%22579b109e-118d8%22	https://landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont5b62.woff2	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
14:59:53	90412/90412	---MCZ	200	added ('OK')	text/plain	etag:W/%22579b109e-1612c%22	https://landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont5b62.woff	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
14:59:55	152796/152796	---MCZ	200	added ('OK')	text/plain	etag:W/%22579b109e-254dc%22	https://landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont5b62.ttf	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
14:59:55	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2017:59:53%20GMT	https://landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/fontawesome-webfont5b62.svg	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
14:59:56	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2017:59:54%20GMT	https://landing.zytheme.com/cobuild/assets/css/fonts/Stroke-Gap-Icons.eot	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Stroke-Gap-Icons.eot	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
14:59:58	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225560ab26-da0c%22	https://landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free.eot?w118d	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free54e9.eot	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
14:59:59	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225560ab26-da0c%22	https://landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free.eot?	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Freed41d.eot	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:00	21780/21780	---MCZ	200	added ('OK')	text/plain	etag:W/%225560ab2c-5514%22	https://landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free.woff2?w118d	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free54e9.woff2	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:01	55696/55696	---MCZ	200	added ('OK')	text/plain	etag:W/%225560ab26-d990%22	https://landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free.woff?w118d	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free54e9.woff	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:03	55620/55620	---MCZ	200	added ('OK')	text/plain	etag:W/%225560ab26-d944%22	https://landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free.ttf?w118d	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free54e9.ttf	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:03	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:01%20GMT	https://landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free.svg?w118d	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/Linearicons-Free54e9.svg	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:04	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:02%20GMT	https://landing.zytheme.com/cobuild/assets/css/owl.video.play.png	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/owl.video.play.png	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:05	960/960	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2014%20Oct%202019%2018:00:03%20GMT	https://landing.zytheme.com/cobuild/assets/css/font/ytp-regular.eot	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/font/ytp-regular.eot	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:07	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22537fa21e-1339c%22	https://landing.zytheme.com/cobuild/assets/fonts/themify.eot	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/themify.eot	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:08	78748/78748	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22537fa21e-1339c%22	https://landing.zytheme.com/cobuild/assets/fonts/themify.eot?	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/themifyd41d.eot	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:10	56108/56108	---MCZ	200	added ('OK')	text/plain	etag:W/%22537fa21e-db2c%22	https://landing.zytheme.com/cobuild/assets/fonts/themify.woff	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/themify.woff	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:11	78584/78584	---MCZ	200	added ('OK')	text/plain	etag:W/%22537fa21e-132f8%22	https://landing.zytheme.com/cobuild/assets/fonts/themify.ttf	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/themify.ttf	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:14	234269/234269	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22537fa21e-3931d%22	https://landing.zytheme.com/cobuild/assets/fonts/themify.svg?-fvbane	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/fonts/themify9f24.svg	(from https://landing.zytheme.com/cobuild/assets/css/external.css)
15:00:14	26732/26732	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ac2492a-686c%22	https://landing.zytheme.com/cobuild/assets/css/fonts/cons.eot	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/cons.eot	(from https://landing.zytheme.com/cobuild/assets/css/cons.css)
15:00:15	26732/26732	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225ac2492a-686c%22	https://landing.zytheme.com/cobuild/assets/css/fonts/cons.eot?	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/consd41d.eot	(from https://landing.zytheme.com/cobuild/assets/css/cons.css)
15:00:16	15188/15188	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac24934-3b54%22	https://landing.zytheme.com/cobuild/assets/css/fonts/cons.woff	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/cons.woff	(from https://landing.zytheme.com/cobuild/assets/css/cons.css)
15:00:17	26556/26556	---MCZ	200	added ('OK')	text/plain	etag:W/%225ac24932-67bc%22	https://landing.zytheme.com/cobuild/assets/css/fonts/cons.ttf	C:/My%20Web%20Sites/template/landing.zytheme.com/cobuild/assets/css/fonts/cons.ttf	(from https://landing.zytheme.com/cobuild/assets/css/cons.css)
